id1,id2,is_true_match,classification
fullcontact_1,http://dbpedia.org/resource/Mad%C3%A9casse,,
fullcontact_1,http://dbpedia.org/resource/Solidoodle,,
fullcontact_1,http://dbpedia.org/resource/ONErpm,,
fullcontact_1,http://dbpedia.org/resource/National_Arms_Company,,
fullcontact_1,http://dbpedia.org/resource/BBMG,,
fullcontact_1,http://dbpedia.org/resource/MECC,,
fullcontact_1,http://dbpedia.org/resource/Raz-Lee,,
fullcontact_1,http://dbpedia.org/resource/BAMMA,,
fullcontact_1,http://dbpedia.org/resource/DotSUB,,
fullcontact_1,http://dbpedia.org/resource/TuneCore,,
fullcontact_1,http://dbpedia.org/resource/Gemesis,,
fullcontact_1,http://dbpedia.org/resource/CommerceHub,,
fullcontact_1,http://dbpedia.org/resource/MakerBot_Industries,,
fullcontact_1,http://dbpedia.org/resource/NBBJ,,
fullcontact_1,http://dbpedia.org/resource/JBS_USA,,
fullcontact_1,http://dbpedia.org/resource/Bang_(company),,
fullcontact_1,http://dbpedia.org/resource/Axvoice,,
fullcontact_1,http://dbpedia.org/resource/Betaworks,,
fullcontact_1,http://dbpedia.org/resource/Charlie_Brown's_Fresh_Grill,,
fullcontact_1,http://dbpedia.org/resource/BTU_International,,
fullcontact_2,http://dbpedia.org/resource/CI_Financial,,
fullcontact_2,http://dbpedia.org/resource/CITS_Group_Corporation,,
fullcontact_2,http://dbpedia.org/resource/Metro_Inc.,,
fullcontact_2,http://dbpedia.org/resource/CIBC_Mellon,,
fullcontact_2,http://dbpedia.org/resource/Toyota_Canada_Inc.,,
fullcontact_2,http://dbpedia.org/resource/TransCanada_Corporation,,
fullcontact_2,http://dbpedia.org/resource/Home_Capital_Group,,
fullcontact_2,http://dbpedia.org/resource/Industrial_Alliance,,
fullcontact_2,http://dbpedia.org/resource/Genetec,,
fullcontact_2,http://dbpedia.org/resource/Canadian_General_Electric,,
fullcontact_2,http://dbpedia.org/resource/The_InterProse_Corporation,,
fullcontact_2,http://dbpedia.org/resource/Confederation_Life,,
fullcontact_2,http://dbpedia.org/resource/CognoVision,,
fullcontact_2,http://dbpedia.org/resource/Katz_Group_of_Companies,,
fullcontact_2,http://dbpedia.org/resource/TC_Transcontinental,,
fullcontact_2,http://dbpedia.org/resource/FSA_Corporation,,
fullcontact_2,http://dbpedia.org/resource/Cineplex_Entertainment,,
fullcontact_2,http://dbpedia.org/resource/Becker's,,
fullcontact_2,http://dbpedia.org/resource/Oanda_Corporation,,
fullcontact_2,http://dbpedia.org/resource/Canadian_Co-operative_Association,,
fullcontact_3,http://dbpedia.org/resource/Waterloo_Maple,,
fullcontact_3,http://dbpedia.org/resource/RapidMind,,
fullcontact_3,http://dbpedia.org/resource/CIBC_Mellon,,
fullcontact_3,http://dbpedia.org/resource/Knome,,
fullcontact_3,http://dbpedia.org/resource/Turkey_Hill_Sugarbush,,
fullcontact_3,http://dbpedia.org/resource/Cameco,,
fullcontact_3,http://dbpedia.org/resource/Nimbo_(company),,
fullcontact_3,http://dbpedia.org/resource/Industrial_Alliance,,
fullcontact_3,http://dbpedia.org/resource/DCS_Europe,,
fullcontact_3,http://dbpedia.org/resource/Desire2Learn,,
fullcontact_3,http://dbpedia.org/resource/Softronix,,
fullcontact_3,http://dbpedia.org/resource/JobServe,,
fullcontact_3,http://dbpedia.org/resource/Stroh,,
fullcontact_3,http://dbpedia.org/resource/Laborelec,,
fullcontact_3,http://dbpedia.org/resource/Harrisonville_Telephone_Company,,
fullcontact_3,http://dbpedia.org/resource/Texperts,,
fullcontact_3,http://dbpedia.org/resource/Avantis,,
fullcontact_3,http://dbpedia.org/resource/Dataram,,
fullcontact_3,http://dbpedia.org/resource/NORCAT,,
fullcontact_3,http://dbpedia.org/resource/UCL_Business,,
fullcontact_4,http://dbpedia.org/resource/West_Jewellers,,
fullcontact_4,http://dbpedia.org/resource/Coillte,,
fullcontact_4,http://dbpedia.org/resource/O'Neills,,
fullcontact_4,http://dbpedia.org/resource/Hesketh_Motorcycles,,
fullcontact_4,http://dbpedia.org/resource/British_and_Irish_Steam_Packet_Company,,
fullcontact_4,http://dbpedia.org/resource/Spear_Alliance,,
fullcontact_4,http://dbpedia.org/resource/Akersbanerne,,
fullcontact_4,http://dbpedia.org/resource/Kvadrat_(company),,
fullcontact_4,http://dbpedia.org/resource/Danish_Crown_AmbA,,
fullcontact_4,http://dbpedia.org/resource/Raidi%C3%B3_Teilif%C3%ADs_%C3%89ireann,,
fullcontact_4,http://dbpedia.org/resource/GB_Innomech_Ltd,,
fullcontact_4,http://dbpedia.org/resource/Lakeland_Dairies,,
fullcontact_4,http://dbpedia.org/resource/ESB_Group,,
fullcontact_4,http://dbpedia.org/resource/PEB_Steel,,
fullcontact_4,http://dbpedia.org/resource/Scott_Logic_Ltd.,,
fullcontact_4,http://dbpedia.org/resource/Ulster_Transport_Authority,,
fullcontact_4,http://dbpedia.org/resource/Eaga,,
fullcontact_4,http://dbpedia.org/resource/EirGrid,,
fullcontact_4,http://dbpedia.org/resource/MIGI_Clothing,,
fullcontact_4,http://dbpedia.org/resource/Douglas_Equipment,,
fullcontact_5,http://dbpedia.org/resource/Viventura,,
fullcontact_5,http://dbpedia.org/resource/Edel_AG,,
fullcontact_5,http://dbpedia.org/resource/Hochteif_Concessions,,
fullcontact_5,http://dbpedia.org/resource/Kern_AG,,
fullcontact_5,http://dbpedia.org/resource/Miele,,
fullcontact_5,http://dbpedia.org/resource/Nordseewerke,,
fullcontact_5,http://dbpedia.org/resource/Bito_AG,,
fullcontact_5,http://dbpedia.org/resource/Deutscher_Pressevertrieb,,
fullcontact_5,http://dbpedia.org/resource/Enercon,,
fullcontact_5,http://dbpedia.org/resource/Essenden,,
fullcontact_5,http://dbpedia.org/resource/Steinberg,,
fullcontact_5,http://dbpedia.org/resource/Reemtsma,,
fullcontact_5,http://dbpedia.org/resource/H._Vogemann,,
fullcontact_5,http://dbpedia.org/resource/Altana,,
fullcontact_5,http://dbpedia.org/resource/Meica,,
fullcontact_5,http://dbpedia.org/resource/Aurubis,,
fullcontact_5,http://dbpedia.org/resource/Rotring,,
fullcontact_5,http://dbpedia.org/resource/Vossloh,,
fullcontact_5,http://dbpedia.org/resource/Wingas,,
fullcontact_5,http://dbpedia.org/resource/Heidolph,,
fullcontact_6,http://dbpedia.org/resource/McDermott_International,,
fullcontact_6,http://dbpedia.org/resource/Schlumberger,,
fullcontact_6,http://dbpedia.org/resource/EXL,,
fullcontact_6,http://dbpedia.org/resource/Hyundai_Mobis,,
fullcontact_6,http://dbpedia.org/resource/American_Bureau_of_Shipping,,
fullcontact_6,http://dbpedia.org/resource/Genband,,
fullcontact_6,http://dbpedia.org/resource/Exelon,,
fullcontact_6,http://dbpedia.org/resource/Eolas,,
fullcontact_6,http://dbpedia.org/resource/Open_iT,,
fullcontact_6,http://dbpedia.org/resource/Champion_Energy,,
fullcontact_6,http://dbpedia.org/resource/Exigen_Services,,
fullcontact_6,http://dbpedia.org/resource/NATCO_Group,,
fullcontact_6,http://dbpedia.org/resource/El_Paso_Electric,,
fullcontact_6,http://dbpedia.org/resource/InterMoor,,
fullcontact_6,http://dbpedia.org/resource/HP_Hood,,
fullcontact_6,http://dbpedia.org/resource/Metreos,,
fullcontact_6,http://dbpedia.org/resource/High_Standard_Manufacturing_Company,,
fullcontact_6,http://dbpedia.org/resource/Ronco,,
fullcontact_6,http://dbpedia.org/resource/SemGroup,,
fullcontact_6,http://dbpedia.org/resource/E-mart,,
fullcontact_7,http://dbpedia.org/resource/PPG_Industries,True,TP
fullcontact_7,http://dbpedia.org/resource/PPL_(utility),,
fullcontact_7,http://dbpedia.org/resource/PPF_(company),,
fullcontact_7,http://dbpedia.org/resource/Avere_Systems,,
fullcontact_7,http://dbpedia.org/resource/Erie_Plating_Company,,
fullcontact_7,http://dbpedia.org/resource/Bloom_Cigar_Company,,
fullcontact_7,http://dbpedia.org/resource/Three_Rivers_Computer_Corporation,,
fullcontact_7,"http://dbpedia.org/resource/PKWARE,_Inc",,
fullcontact_7,http://dbpedia.org/resource/H._J._Heinz_Company,,
fullcontact_7,http://dbpedia.org/resource/PNC_Financial_Services,,
fullcontact_7,http://dbpedia.org/resource/Niche_(company),,
fullcontact_7,http://dbpedia.org/resource/GetGo,,
fullcontact_7,http://dbpedia.org/resource/Premier_Motor_Manufacturing_Company,,
fullcontact_7,http://dbpedia.org/resource/Gemmy_Industries,,
fullcontact_7,http://dbpedia.org/resource/Dexter_Industries,,
fullcontact_7,http://dbpedia.org/resource/BitArmor,,
fullcontact_7,"http://dbpedia.org/resource/The_PRS_Group,_Inc.",,
fullcontact_7,http://dbpedia.org/resource/Pittsburgh_LAN_Coalition,,
fullcontact_7,http://dbpedia.org/resource/Metro_Inc.,,
fullcontact_7,http://dbpedia.org/resource/InduSoft,,
fullcontact_8,http://dbpedia.org/resource/Walgreens,,
fullcontact_8,http://dbpedia.org/resource/K's_Merchandise_Mart,,
fullcontact_8,http://dbpedia.org/resource/Merchant_Warehouse,,
fullcontact_8,http://dbpedia.org/resource/Curacao_Department_Stores,,
fullcontact_8,http://dbpedia.org/resource/Alberta_Cooperative_Grocery,,
fullcontact_8,http://dbpedia.org/resource/Chico's_(clothing_retailer),,
fullcontact_8,http://dbpedia.org/resource/Shoplet,,
fullcontact_8,http://dbpedia.org/resource/The_Room_Store,,
